"pid","title","short_name","description","link","screenshot_url","status","type","terms","changed"
"19","Printer, e-mail and PDF versions","print","<p>: The Printer-friendly, e-mail and PDF versions module will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>This module allows you to generate the following printer-friendly versions of any node:</p><p>where  is the node id of content to render.</p><p></p>","http://drupal.org/project/print","http://drupal.org/files/images/p1010154.thumbnail.jpg","1","Modules","Modules","1272530860"
"20","Translation","translation","<p>Translation module 2.x for Drupal 7, maintained by the i18n team.</p><p></p><p>Introduces entity/field translation for the new translatable fields capability in Drupal 7.</p><p>This project does not replaces the  project, which focuses on enabling a full multilingual workflow for site admins/builders. Translation only replaces and enhances the core Content Translation module. Some features, e.g. content language negotiation or taxonomy translation, might overlap but most of them are unrelated.</p><p></p><p>To reach a stable status this project needs help on some . Join in!</p><p>@todo Complete this page.</p>","http://drupal.org/project/translation","","1","Modules","Modules","1272530860"
"21","Organic groups","og","<p>: I pledge that Organic Groups will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>Enable users to create and manage their own 'groups'. Each group can have subscribers, and maintains a group home page where subscribers communicate amongst themselves.</p>","http://drupal.org/project/og","","1","Modules","Modules","1272530860"
"22","Pathauto","pathauto","<p>The Pathauto module automatically generates path aliases for various kinds of content (nodes, categories, users) without requiring the user to manually specify the path alias.  This allows you to get aliases like /category/my-node-title.html instead of /node/123.  The aliases are based upon a ""pattern"" system which the administrator can control.</p>","http://drupal.org/project/pathauto","http://drupal.org/files/images/path_auto_0.thumbnail.png","1","Modules","Modules","1272530860"
"23","IndexPage","indexpage","<p>This module displays customizable index pages for each node type, with alphabetical, taxonomy, and user filters.</p><p>For more information read the .</p>","http://drupal.org/project/indexpage","","1","Modules","Modules","1272530860"
"24","Troll","troll","<p>This module provides troll management tools for community sites including users by IP address, banning IP addresses, advanced user searching and blocking user by role.</p>","http://drupal.org/project/troll","","1","Modules","Modules","1272530860"
"25","Media","media","<p>: I pledge that Media will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p></p><p></p>","http://drupal.org/project/media","http://drupal.org/files/images/library.thumbnail.png","1","Modules","Modules","1272530860"
"26","Hall of Fame","hof","<p>HOF, or ""Hall of Fame"", is a module that provides publicly-visible summary statistics for a Drupal web site. What differentiates hof.module from the regular Drupal statistics is that HOF is meant to provide a public display of statistics, emphasizing credit to those who help a site to succeed.</p>","http://drupal.org/project/hof","","1","Modules","Modules","1272530860"
"27","Diff","diff","<p>This module adds a tab for sufficiently permissioned users. The tab shows all revisions like standard Drupal but it also allows pretty viewing of all added/changed/deleted words between revisions.</p>","http://drupal.org/project/diff","","1","Modules","Modules","1272530861"
"28","Ukrainian translation","uk","","http://drupal.org/project/uk","","1","","Translations","1272530861"
"29","Comment Notify","comment_notify","<p>Comment Notify is a lightweight tool to send notification e-mails to visitors about new, published comments on pages where they have commented. Comment Notify works for both registered and anonymous users.</p>","http://drupal.org/project/comment_notify","http://drupal.org/files/images/comment_notify_selection.thumbnail.png","1","Modules","Modules","1272530861"
"30","Simple Access","simple_access","<p>This module allows administrators to make some nodes private and/or editable by certain user roles.</p>","http://drupal.org/project/simple_access","http://drupal.org/files/images/simple_access_settings.thumbnail.PNG","1","Modules","Modules","1272530861"
"31","Video","video","<p>: I pledge that Video Module will have a full Drupal 7 release on the day that Drupal 7 is released.</p>","http://drupal.org/project/video","http://drupal.org/files/images/videoformats_icons_ogg.png","1","Modules","Modules","1272530861"
"32","Similar Entries","similar","<p>A module that displays a block with the most similar nodes to the currently viewed one, based on the title and body fields. Related pages show as a list in a block.</p>","http://drupal.org/project/similar","","1","Modules","Modules","1272530861"
"33","Search 404","search404","<p>: I pledge that this module will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>Instead of showing a standard ""404 Page not found"", this module performs a search on the keywords in the URL, e.g. if a user goes to , this module will do a search for ""does not exist"".</p><p>It also includes search engine keywords detections as well as regular expression based term filtering from the URL.</p><p></p><p>In the latest release you have the option to show side blocks when a 404 error occurs. This is a requested feature from some of our regular users.</p>","http://drupal.org/project/search404","","1","Modules","Modules","1272530861"
"34","Simplenews","simplenews","<p>Simplenews publishes and sends newsletters to lists of subscribers. Both anonymous and authenticated users can opt-in to different mailing lists. HTML email can be send by adding .</p>","http://drupal.org/project/simplenews","","1","Modules","Modules","1272530861"
"35","Bad Behavior","badbehavior","<p>Bad Behavior is a set of PHP scripts which prevents spambots from accessing your site by analyzing their actual HTTP requests and comparing them to profiles from known spambots. It goes far beyond User-Agent and Referer, however.</p>","http://drupal.org/project/badbehavior","","1","Modules","Modules","1272530861"
"36","Pirate","pirate","<p>: I pledge that  will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>On  (September 19th), this filter changes all appropriate English phrases and words into pirate-speak.</p>","http://drupal.org/project/pirate","","1","Modules","Modules","1272530861"
"37","GMap Module","gmap","<p>The GMap module provides an interface to the Google Maps API within Drupal. It integrates with the Location module to provide users a clickable map for entering latitude and longitude, as well as to display maps of Drupal nodes and users. GMap can be used to create interactive maps with various map markers and content in map bubbles, taking advantage of Drupal's other content management features. The module also provides a Views display plugin which allows users to display the results of a view on a Google map.</p>","http://drupal.org/project/gmap","","1","Modules","Modules","1272530861"
"38","LoginToboggan","logintoboggan","<p>: I pledge that  will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>The Login Toboggan module offers several modifications of the Drupal login system in an external module by offering the following features and usability improvements:</p>","http://drupal.org/project/logintoboggan","","1","Modules","Modules","1272530861"
"39","Taxonews","taxonews","<p>: I pledge that  will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>A module to generate blocks containing titles of node matching terms in a taxonomy vocabulary, as links to the nodes themselves, with optional automatic content expiration based on publishing date.</p><p>Module has settings for:</p><p>The blocks are themeable, so the list of titles can be replaced by other display choices on a per-block basis, like Drupal teasers instead of just titles, by overriding the  function in a theme.</p>","http://drupal.org/project/taxonews","http://drupal.org/files/images/Taxonews8[2].thumbnail.png","1","Modules","Modules","1272530861"
"40","Voting API","votingapi","<p>: I pledge that VotingAPI will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>VotingAPI helps developers who want to use a standardized API and schema for storing, retrieving, and tabulating votes for Drupal content.</p>","http://drupal.org/project/votingapi","","1","Modules","Modules","1272530861"
"41","Family Tree","family","<p></p><p>The  module is for recording, displaying and analyzing genealogical data.  It allows for the creation of things (nodes), such as</p><p>Dependencies:</p>","http://drupal.org/project/family","","1","Modules","Modules","1272530861"
"42","Views","views","<p>The Views module provides a flexible method for Drupal site designers to control how lists and tables of content (nodes in Views 1, almost anything in Views 2) are presented. Traditionally, Drupal has hard-coded most of this, particularly in how taxonomy and tracker lists are formatted.</p><p>This tool is essentially a smart query builder that, given enough information, can build the proper query, execute it, and display the results. It has four modes, plus a special mode, and provides an impressive amount of functionality from these modes.</p><p>Among other things, Views can be used to generate reports, create summaries, and display collections of images and other content.</p>","http://drupal.org/project/views","","1","Modules","Modules","1272530861"
"43","URL list","urllist","<p>Creates a list of node URLs at /q=urllist.txt or (/urllist.txt for clean URLs) for submitting to search engines like .</p>","http://drupal.org/project/urllist","","1","Modules","Modules","1272530861"
"44","Porter-Stemmer","porterstemmer","<p>: The development version for Drupal 7.x is working! If you don't see the development version available below, check back in about 24 hours (or check it out from HEAD in CVS). Check issue  to monitor progress of the Drupal 7 version.</p><p>This module implements the Porter stemming algorithm to improve English-language searching with the Drupal built-in Search module.</p><p>The process of stemming reduces each word in the search index to its basic root or stem (e.g. 'blogging' to 'blog') so that variations on a word ('blogs', 'blogger', 'blogging', 'blog') are considered equivalent when searching. This generally results in more relevant search results.</p>","http://drupal.org/project/porterstemmer","","1","Modules","Modules","1272530861"
"45","DB Maintenance","db_maintenance","<p>DB maintenance optimizes administrator-selected tables in the database during regular cron.php executions. For MyISAM tables, OPTIMIZE TABLE repairs a table if it has deleted or split rows, sorts table indexes, and updates table statistics. For BDB and InnoDB, OPTIMIZE rebuilds the table. Note, MySQL locks tables during the time OPTIMIZE TABLE is running. Optionally the user can select to attempt a REPAIR TABLE in the event errors are found during attempted OPTIMIZE TABLE. If you enable this ensure you have proper working backups.</p>","http://drupal.org/project/db_maintenance","","1","Modules","Modules","1272530861"
"46","Tracker Lite","trackerlite","<p>Tracker Lite is designed to replace the tracker module, without requiring the presence of the comments module to work. This may be useful to small sites that don't need comment module but want the convenience and simplicity of the tracker system.</p><p>The aim of this module is to be an exact replacement: for fancier effects use Views.</p><p>You can't run both this module and core tracker module together as they use the same paths, but it's fine to switch from one to the other: for example should your site expand and need comment module after all.</p>","http://drupal.org/project/trackerlite","","1","Modules","Modules","1272530861"
"47","Content Construction Kit (CCK)","cck","<p>The Content Construction Kit allows you to add custom fields to nodes using a web browser.</p>","http://drupal.org/project/cck","","1","Modules","Modules","1272530861"
"48","Masquerade","masquerade","<p>The masquerade module is designed as a tool for site designers and site administrators. It allows a user with the right permissions to switch users. While masquerading, a field is set on the $user object, and a menu item appears allowing the user to switch back. Watchdog entries are made any time a user masquerades or stops masquerading.</p>","http://drupal.org/project/masquerade","","1","Modules","Modules","1272530861"
"49","Google Analytics","google_analytics","<p>Adds the  web statistics tracking system to your website.</p><p>The module allows you to add the following statistics features to your site:</p>","http://drupal.org/project/google_analytics","","1","Modules","Modules","1272530861"
"50","Zeitgeist","zeitgeist","<p>This is a module implementing history functions for search. It enables a configurable ""recent searches"" block, and future versions can use its data to provide frequency reporting on searches over various time periods.</p>","http://drupal.org/project/zeitgeist","","1","Modules","Modules","1272530861"
"51","Shared Sign-On","singlesignon","<p>Enables ""Shared Sign-Ons"" between related Drupal sites on one server with a shared database.  Can be used standalone, but is most tested in conjunction with the domain (aka Domain Access) module.</p><p>If you still want to use Single Sign On on your sites,  module has been created as a successor to Shared Sign On.</p>","http://drupal.org/project/singlesignon","","1","Modules","Modules","1272530861"
"52","Page Title","page_title","<p>The word ""title"" is a bit overloaded. Every piece of content in Drupal has a title, and so does every page. The  is the one found in the HTML head inside the <title> tag. It is also used on SERPs (Search Engine Result Pages) and can greatly enhance your websites SEO (Search Engine Optimization).</p><p>This module gives you granular control over the page title. You can specify patterns for how the title should be structured and, on content creation pages, specify the page title separately to the content's title.</p>","http://drupal.org/project/page_title","http://drupal.org/files/images/page-title.png","1","Modules","Modules","1272530861"
"53","NoProb","noprob","<p>This is a fixed-width design with a single-colored banner and a muted colour scheme. It features support for sidebars on one or both sides, a print style sheet, and under Drupal 6 and above, a menu bar with drop-down menus for nested links. Its text rendering has been optimized for consistency and vertical rhythm, and it fits browser windows sized at least 900px wide.</p><p>Theme developers interested in implementing drop-down menus in their own themes can read the snippet piece I wrote, """".</p><p>The original theme was taken from , and was designed by .</p><p>Passes validation for XHTML 1.0 and CSS level 3.</p><p></p>","http://drupal.org/project/noprob","http://drupal.org/files/images/screenshot-drupal.org_3.jpg","1","Themes","Themes","1272530861"
"54","Textimage","textimage","<p>Textimage adds text to image functionality using GD2 and Freetype, enabling users to create crisp images on the fly for use as theme objects, headings or limitless other possibilities.</p>","http://drupal.org/project/textimage","http://drupal.org/files/images/12421876208044_0.png","1","Modules","Modules","1272530861"
"55","Arooga","arooga","<p>This is a very simple module that logs (in the drupal watchdog) page generation times that exceed a threshold value, or are a record for the site so far.
There is a settings page to change the threshold value and reset the record value.</p><p>When paired with , administrators can be notified by email when page load times are excessive.</p>","http://drupal.org/project/arooga","","1","Modules","Modules","1272530861"
"56","Countdown","countdown","<p>Adds a block titled ""Countdown"" to count the days, hours, minutes, and seconds since or until a specified event. Can configure to just show days, or days and hours, etc.</p>","http://drupal.org/project/countdown","","1","Modules","Modules","1272530861"
"57","RobotsTxt","robotstxt","<p>Use this module when you are running multiple Drupal sites from a single code base (multisite) and you need a different robots.txt file for each one. This module generates the robots.txt file dynamically and gives you the chance to edit it, on a per-site basis, from the web UI.</p><p>You must delete or rename the robots.txt file in the root of your Drupal installation for this module to display its own robots.txt file(s).</p>","http://drupal.org/project/robotstxt","","1","Modules","Modules","1272530861"
"58","Node Auto Term [NAT]","nat","<p>The NAT module is a helper module used to maintain node-term relationships, i.e. when a node is created a taxonomy term is created automatically using its title and body in any associated vocabularies. This module also attempts to preserve hierarchical relationships where possible.</p><p>Testers, feature requests and patches welcome :)</p><p>Initially sponsored by: .</p>","http://drupal.org/project/nat","http://drupal.org/files/images/nat.thumbnail.png","1","Modules","Modules","1272530861"
"59","User Tags","user_tags","<p></p><p>Adds the ability for users to add tags (taxonomy) to them selves on their user/edit page. Tags are also displayed on the user/page and they link to a page that lists all users that have that tag set to them.</p>","http://drupal.org/project/user_tags","","1","Modules","Modules","1272530861"
"60","Content Templates (Contemplate)","contemplate","<p>The Content Template (a.k.a. ConTemplate) module allows modification of Drupal's teaser and body fields using administrator defined templates. These templates use PHP code and all of the node object variables are available for use in the template. An example node object is displayed and it is as simple as clicking on its properties to add them to the current template.</p><p>This module was written to solve a need with the Content Construction Kit (CCK), where it had a tendency toward outputting content in a not-very-pretty way. And as such, it dovetails nicely with CCK, adding a ""template"" tab to CCK content-type editing pages and pre-populating the templates with CCK's default layout. This makes it easy to rearrange fields, output different fields for teaser and body, remove the field title headers, output fields wrapped for use with tabs.module (part of JSTools), or anything you need.</p><p>But Content Template can actually be used on any node type and allows modification of the teaser and body properties before they go out in an RSS feed, search index, or are handed off to the theme. Additionally, ConTemplate can choose to add any files, images, or other media to RSS feeds as an attachment.</p>","http://drupal.org/project/contemplate","","1","Modules","Modules","1272530862"
"61","Automated Logout","autologout","<p>This module provides a site administrator the ability to log users out after a specified time of inactivity.</p><p>It is highly customizable and includes ""site policies"" by role to enforce logout.</p><p>Includes content submission detection after timeout to prevent users loosing work.</p><p>Uses  as a helper module to display a count down block (Optional).</p><p>""One Session"" allows the Administrator to define by role which users can have multiple sessions at a time.</p><p>If ""One Session"" is enforced the User is restricted to one session. If a restricted user logs on the sessions table is checked, if the users is found to have other sessions: those sessions are set inactive, the user is notified and the event is written to the log.</p><p>If a user is in a restricted role and a role that is unrestricted, the One Session feature has no effect.</p><p>Intended to be a tableless, lightweight, automated logout.  The majority of the code contributed by Rob Loach.  Optionally integrated with</p>","http://drupal.org/project/autologout","http://drupal.org/files/images/autologout.thumbnail.JPG","1","Modules","Modules","1272530862"
"62","Randomizer","randomizer","<p>This module is designed to assist researchers and students who want an easy way to perform random sampling or assign participants to experimental conditions. It accepts form input as parameters for generating a pseudo-random list of numbers.</p>","http://drupal.org/project/randomizer","","1","Modules","Modules","1272530862"
"63","Bibliography Module","biblio","<p>a.k.a. 
This module allows users manage and display lists of scholarly publications.</p><p>Features include...</p>","http://drupal.org/project/biblio","","1","Modules","Modules","1272530862"
"64","Date","date","<p>: I pledge to have a Date Field released on the day that Drupal 7 is released. Views integration, including calendar module, will be ready released on the day that Views releases.</p><p>This package contains both the Date module and a Date API module. The Date API is available to be used by other modules and is not dependent on having CCK installed.</p><p>The date module is a flexible date/time field type for the cck content module which requires the  and the Date API module.</p><p></p>","http://drupal.org/project/date","","1","Modules","Modules","1272530862"
"65","Fileshare","fileshare","","http://drupal.org/project/fileshare","","1","Modules","Modules","1272530862"
"66","vCard","vcard","<p>The vCard module adds a vCard download link to every users profile. This link makes it easy to add users on your Drupal site to your local address book. Since we love , there is also a theme function (theme_vcard) for displaying user data in the  format.</p><p>: I pledge that vCard module will have a full Drupal 7 release on the day that Drupal 7 is released.</p>","http://drupal.org/project/vcard","","1","Modules","Modules","1272530862"
"67","Logo Tool","logotool","<p>A simple tool to display either a random logo on every page refresh, else display a specific logo on specified pages and a default set logo on all unspecified ones.</p>","http://drupal.org/project/logotool","","1","Modules","Modules","1272530862"
"68","Panels","panels","<p>The Panels module allows a site administrator to create customized layouts for multiple uses. At its core it is a drag and drop content manager that lets you visually design a layout and place content within that layout. Integration with other systems allows you to create nodes that use this, landing pages that use this, and even override system pages such as taxonomy and the node page so that you can customize the layout of your site with very fine grained permissions.</p><p>Panels 3 utilizes the ' system of ""context"" so that the content you place on the page can be aware of what is being displayed. For example, in the existing Drupal setup, a block has no real knowledge of what the primary page is displaying. There are all kinds of tricks and tools you can use to get information to the blocks, but this generally means writing PHP code to scan the URL and pull the data out, which is not a very good thing when that data should already exist.</p>","http://drupal.org/project/panels","http://drupal.org/files/images/panels-screenshot-1.thumbnail.png","1","Modules","Modules","1272530862"
"69","Link","link","<p>: I pledge that  will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>A CCK content field which lets you add a complete link to your content types; including URL, title, and optionally a target attribute.</p><p>Requires the content module .</p>","http://drupal.org/project/link","","1","Modules","Modules","1272530862"
"70","Gamertags","gamertags","<p>Adds Gamertags to your user profile, which can also be embedded into a page/ comment/ signature by use of a Drupal filter</p>","http://drupal.org/project/gamertags","","1","Modules","Modules","1272530862"
"71","Email Field","email","<p>: I pledge that Email Field will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>This module provides a CCK field type for email addresses.</p>","http://drupal.org/project/email","","1","Modules","Modules","1272530862"
"72","IMCE","imce","<p>pledge: There will be an IMCE 7.x release on the day that Drupal 7 is released.</p><p>IMCE is an image/file uploader and browser that supports personal directories and quota.</p>","http://drupal.org/project/imce","http://drupal.org/files/images/imce-screenshot.thumbnail.jpg","1","Modules","Modules","1272530862"
"73","Path redirect","path_redirect","<p>This module allows you to specify a redirect from one path to another path or an external URL, using any .</p><p>: I pledge that  will have a full Drupal 7 release on the day that Drupal 7 is released.</p>","http://drupal.org/project/path_redirect","http://drupal.org/files/images/screenshot_103.thumbnail.png","1","Modules","Modules","1272530862"
"74","Automatic Nodetitles","auto_nodetitle","<p>""auto_nodetitle"" is a small and efficient module that allows hiding of the content title field in the form. To prevent empty content title fields one can configure it to generate the title by a given pattern.</p>","http://drupal.org/project/auto_nodetitle","","1","Modules","Modules","1272530862"
"75","Profile Privacy","profile_privacy","<p>This module allows users to set privacy options for their profile when using the core profile.module. It does not create any settings pages or configuration screens, it integrates seamlessly with the existing profile module.</p>","http://drupal.org/project/profile_privacy","","1","Modules","Modules","1272530862"
"76","Flatcomments","flatcomments","<p>Flatcomments is a very small module that allows you to force comments to always be replies to the node regardless of the reply link used.</p><p>The comments are not just displayed flat, but also stored in this way, making edits with for example comment_mover more intuitive.</p><p>If you delete comment, all of it's replies are deleted as well. This is an issue especially when you are displaying your comments as a flat list because you can not see if a comment has any replies causing the deletion of more than the single comment you intended.</p><p>As this is unintuitive for the user that does not realize they are replying to a specific comment when you are displaying them as a flat list.</p><p>Flatcomment fixes these issues.</p>","http://drupal.org/project/flatcomments","","1","Modules","Modules","1272530862"
"77","Forced Term","user_force_term","<p>Use this module to force all content submitted by a user to be associated with a term from a taxonomy.</p><p>: I pledge that Forced Term will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>Initial development sponsored by .</p><p>Current development and maintenance is made possible in part by</p>","http://drupal.org/project/user_force_term","http://drupal.org/files/images/user_force_term.thumbnail.png","1","Modules","Modules","1272530862"
"78","Blog Information","bloginfo","<p>The bloginfo module adds 2 blocks to your block, one with title and description of the blog and one block as a blogroll. It  the main title of the blog.</p><p>It is a simple module that adds 2 additional fields to the users account screen, for those who have permission, to have a blog title and blog description.  These are then put into a block that can be placed like any other block.  The title is the block title and the description is the block content.</p><p>The idea is to have a blog title and description like one via blogger.com.</p><p>The block will only display on a users blog list or blog post who have filled in the settings.</p>","http://drupal.org/project/bloginfo","","1","Modules","Modules","1272530862"
"79","ACL","acl","<p>The ACL module, short for , is an API for other modules to create lists of users and give them access to nodes. It has no UI of its own and will not do anything by itself; install this module only if some other module tells you to.</p><p>We're aware of the following modules using ACL (let us know if you know of others):</p>","http://drupal.org/project/acl","","1","Modules","Modules","1272530862"
"80","Global Redirect","globalredirect","<p>is a simple module which…</p>","http://drupal.org/project/globalredirect","http://drupal.org/files/images/GlobalRedirect.thumbnail.png","1","Modules","Modules","1272530862"
"81","Zen","zen","<p>If you are building your own standards-compliant theme, you will find it much easier to start with Zen than to start with Garland or Bluemarine. This theme has  and tons of code comments for both the PHP (template.php) and HTML (page.tpl.php, node.tpl.php).</p><p>You can  in the online documentation.</p><p>The idea behind the Zen theme is to have a very flexible standards-compliant and semantically correct XHTML theme that can be highly modified through CSS and an enhanced version of Drupal’s template system.</p><p>Out of the box, Zen is clean and simple with either a one, two, or three column layout of fixed or liquid width. In addition, the HTML source order has content placed before sidebars or the navbar for increased accessibility and SEO.</p><p>The name is an homage to the  site where designers can redesign the page purely through the use of CSS.</p>","http://drupal.org/project/zen","http://drupal.org/files/images/zen-logo.png","1","Themes","Themes","1272530862"
"82","User Protect","userprotect","<p>: I pledge that  will have a full Drupal 7 release on the day that Drupal 7 is released.</p><p>This module provides various editing protection for users.  The protections can be specific to a user, or applied to all users in a role.</p>","http://drupal.org/project/userprotect","","1","Modules","Modules","1272530862"
"83","Blue Lake","bluelake","<p>This theme is inspired by the Django framework and currently uses tables, yet a re-writing to use layers is scheduled.</p><p>This theme also boasts valid W3C XHTML 1.0 Strict and CSS 2.1 compliance.</p>","http://drupal.org/project/bluelake","http://drupal.org/files/images/Blue Lake.thumbnail.png","1","Themes","Themes","1272530862"
